2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H27,Additions to fixed assets,Financial position,916,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H28,Disposals of fixed assets,Financial position,592,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H29,Other assets,Financial position,"2,410","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H30,Total equity and liabilities,Financial position,"11,816","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"4,091","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H32,Current liabilities,Financial position,"3,761","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H33,Other liabilities,Financial position,"3,964","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars,H34,Total income per employee count,Financial ratios,"85,300","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Dollars,H35,Surplus per employee count,Financial ratios,"4,600","ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Percentage,H36,Current ratio,Financial ratios,57,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Percentage,H37,Quick ratio,Financial ratios,52,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Percentage,H38,Margin on sales of goods for resale,Financial ratios,54,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Percentage,H39,Return on equity,Financial ratios,14,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Percentage,H40,Return on total assets,Financial ratios,5,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 3,GH21,Accommodation and Food Services,Percentage,H41,Liabilities structure,Financial ratios,35,"ANZSIC06 groups H440, H451, H452, and H453"
2014,Level 4,GH211,Accommodation,Dollars (millions),H01,Total income,Financial performance,"2,878",ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H02,Sales of goods not further processed,Financial performance,480,ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H03,Sales of other goods and services,Financial performance,"2,310",ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,32,ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H07,Non-operating income,Financial performance,C,ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H08,Total expenditure,Financial performance,"2,634",ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H09,Interest and donations,Financial performance,132,ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H10,Indirect taxes,Financial performance,62,ANZSIC06 group H440
2014,Level 4,GH211,Accommodation,Dollars (millions),H11,Depreciation,Financial performance,137,ANZSIC06 group H440
