2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H27,Additions to fixed assets,Financial position,388,ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H28,Disposals of fixed assets,Financial position,120,ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H29,Other assets,Financial position,"1,699",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H30,Total equity and liabilities,Financial position,"6,237",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"2,002",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H32,Current liabilities,Financial position,"2,683",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars (millions),H33,Other liabilities,Financial position,"1,553",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars,H34,Total income per employee count,Financial ratios,"334,100",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Dollars,H35,Surplus per employee count,Financial ratios,"11,900",ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Percentage,H36,Current ratio,Financial ratios,111,ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Percentage,H37,Quick ratio,Financial ratios,104,ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Percentage,H39,Return on equity,Financial ratios,19,ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Percentage,H40,Return on total assets,Financial ratios,6,ANZSIC06 group E310
2016,Level 4,EE121,Heavy and Civil Engineering Construction,Percentage,H41,Liabilities structure,Financial ratios,32,ANZSIC06 group E310
2016,Level 3,EE13,Construction Services,Dollars (millions),H01,Total income,Financial performance,"19,442","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H04,Sales of goods and services,Financial performance,"19,276","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,88,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,3,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H07,Non-operating income,Financial performance,75,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H08,Total expenditure,Financial performance,"17,857","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H09,Interest and donations,Financial performance,312,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H10,Indirect taxes,Financial performance,119,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H11,Depreciation,Financial performance,461,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H12,Salaries and wages paid,Financial performance,"4,953","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H13,Redundancy and severance,Financial performance,10,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"11,861","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H20,Non-operating expenses,Financial performance,151,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H21,Opening stocks,Financial performance,"2,887","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H22,Closing stocks,Financial performance,"3,378","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H23,Surplus before income tax,Financial performance,"2,076","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H24,Total assets,Financial position,"15,553","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H25,Current assets,Financial position,"9,174","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H26,Fixed tangible assets,Financial position,"4,319","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H27,Additions to fixed assets,Financial position,"1,109","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H28,Disposals of fixed assets,Financial position,593,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H29,Other assets,Financial position,"2,060","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H30,Total equity and liabilities,Financial position,"15,555","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"5,665","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H32,Current liabilities,Financial position,"6,398","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars (millions),H33,Other liabilities,Financial position,"3,492","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars,H34,Total income per employee count,Financial ratios,"247,400","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Dollars,H35,Surplus per employee count,Financial ratios,"26,400","ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Percentage,H36,Current ratio,Financial ratios,143,"ANZSIC06 groups E321, E322, E323, E324, and E329"
2016,Level 3,EE13,Construction Services,Percentage,H37,Quick ratio,Financial ratios,91,"ANZSIC06 groups E321, E322, E323, E324, and E329"
