2016,Level 4,CC811,Transport Equipment Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,48,ANZSIC06 groups C231 and C239
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H01,Total income,Financial performance,"7,729","ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,819,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"6,766","ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,57,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,31,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,55,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"7,137","ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,67,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,20,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,182,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,"1,806","ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,7,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,541,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"4,455","ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,65,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,908,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
2016,Level 3,CC82,Machinery and Other Equipment Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,938,"ANZSIC06 groups C241, C242, C243, C244, C245, C246, and C249"
